id,name,slug,url,summary,os,cpu,storage,memory,graphics,sound,online,media,connectivity,resolutions,output,companies,main_manufacturer,platform_logo,platform_version_release_dates,checksum
24,Initial version,initial-version-4d6e4123-07c6-4367-8d8a-f77760bebcc1,https://www.igdb.com/platforms/atari2600/version/initial-version-4d6e4123-07c6-4367-8d8a-f77760bebcc1,"The Atari 2600, branded as the Atari Video Computer System (Atari VCS) until November 1982, is a home video game console developed and produced by Atari, Inc. Released in September 1977, it popularized microprocessor-based hardware and games stored on swappable ROM cartridges, a format first used with the Fairchild Channel F in 1976. The VCS was bundled with two joystick controllers, a conjoined pair of paddle controllers, and a game cartridge—initially Combat and later Pac-Man.

Atari was successful at creating arcade video games, but their development cost and limited lifespan drove CEO Nolan Bushnell to seek a programmable home system. The first inexpensive microprocessors from MOS Technology in late 1975 made this feasible. The console was prototyped as codename Stella, by Atari subsidiary Cyan Engineering. Lacking funding to complete the project, Bushnell sold Atari to Warner Communications in 1976.

The Atari VCS launched in 1977 with nine simple, low-resolution games in 2 KB cartridges. The system's first killer app was the home conversion of Taito's arcade game Space Invaders in 1980. The VCS became widely successful, leading to the founding of Activision and other third-party game developers and to competition from console manufacturers Mattel and Coleco. By the end of its primary lifecycle in 1983–84, games for the 2600 were using more than four times the storage size of the launch games with significantly more advanced visuals and gameplay than the system was designed for, such as Activision's Pitfall!.

In 1982, the Atari 2600 was the dominant game system. Amid competition from both new consoles and game developers, a number of poor decisions from Atari management affected the company and the industry as a whole. The most public was an extreme investment into licensed games for the 2600, including Pac-Man and E.T. the Extra-Terrestrial. Pac-Man became the system's biggest selling game, but the conversion's poor quality eroded consumer confidence in the console. E.T. was rushed to market for the holiday shopping season and was critically panned and a commercial failure. Both games, and a glut of third-party shovelware, were factors in ending Atari's relevance in the console market. Atari's downfall reverberated through the industry resulting in the video game crash of 1983.

Warner sold Atari's home division to former Commodore CEO Jack Tramiel in 1984. In 1986, the new Atari Corporation under Tramiel released a lower-cost version of the 2600 and the backward-compatible Atari 7800, but it was Nintendo that led the recovery of the industry with its 1985 launch of the Nintendo Entertainment System. Production of the Atari 2600 ended on January 1, 1992, with an estimated 30 million units sold across its lifetime.",,"MOS 6507 @ 1,19 MHz",4 kB ROM,128 bytes ram,,,GameLine,,,,,,,309,"{33,34,35,830}",a33cb6bc-361d-de50-6b2e-16e2e8049203
55,Initial version,initial-version-729a252f-e870-487e-a893-c9a2f1139bbd,https://www.igdb.com/platforms/ouya/version/initial-version-729a252f-e870-487e-a893-c9a2f1139bbd,"The Ouya (/ˈuːjə/ oo-yə), stylized OUYA, is a microconsole running its own version of the Android operating system, developed by Ouya Inc. Julie Uhrman founded the project in 2012. She brought in designer Yves Béhar to collaborate on the design of the project, and Muffi Ghadiali as product manager to put together the engineering team. Development was funded via Kickstarter, raising $8.5 million and becoming the website's second-highest-earning project in its history.

Units started to ship to Kickstarter backers on March 28, 2013. The console was released to the general public on June 25, 2013, and features an exclusive Ouya store for applications and games designed specifically for the Ouya platform, of which the majority are casual games targeted at or used by a mass audience of casual gamers. Out of the box, Ouya supports media apps such as TwitchTV and XBMC media player. It runs a modified version of Android 4.1 Jelly Bean, and is open to rooting without voiding the warranty (developer models ordered during the Kickstarter campaign for $699 or $1,337 come pre-rooted). The console's hardware design allows it to be easily opened up, requiring only a standard screwdriver for easy modding and possible hardware addons.

All systems can be used as development kits, allowing any Ouya owner to also be a developer, without the need for licensing fees. All games are required to have some kind of free-to-play aspect, whether that be completely free, has a free trial, or has purchasable upgrades, levels, or other in-game items. The Ouya is classified as part of the eighth generation of video game consoles and as such is a rival competing against the PlayStation 4, Xbox One, and Wii U.

After financial issues, Ouya's employees and software assets were sold to Razer Inc., who announced the discontinuation of the Ouya console on July 27, 2015.",Android 4.1 Jelly Bean,1.7 GHz Quad-Core ARM Cortex-A9,8 GB internal flash memory,1 GiB DDR3 SDRAM,Nvidia GeForce ULP @ 520 MHz,"5.1 Surround, 2Ch Stereo",,,"Wi-Fi 802.11 b/g/n, Bluetooth LE 4.0, Ethernet port","1080p, 720p","HDMI, USB 2.0, Micro USB",{294},,236,{15},996a6c9c-4d46-88d6-26ce-94ca112588dc
66,Initial version,initial-version-5be55259-43c6-4700-8222-3dda296b2e6f,https://www.igdb.com/platforms/x1/version/initial-version-5be55259-43c6-4700-8222-3dda296b2e6f,,,,,,,,,,,,,,,297,,638f8c3f-9a2a-544b-2feb-ceadce27f4a7
86,Web browser,web-browser,https://www.igdb.com/platforms/browser/version/web-browser,"A web browser is an application for accessing websites. When a user requests a web page from a particular website, the browser retrieves its files from a web server and then displays the page on the user's screen. Browsers are used on a range of devices, including desktops, laptops, tablets, and smartphones.",,,,,,,,,,,,,,381,{752},99d52e6c-8331-bade-9d94-3c4f866c532f
105,Initial version,initial-version,https://www.igdb.com/platforms/astrocade/version/initial-version,,,,,,,,,,,,,,,,,e3004e5b-93d9-94ec-16e8-84787bebc92a
126,Initial version,initial-version,https://www.igdb.com/platforms/analogueelectronics/version/initial-version,,,,,,,,,,,,,,,,,57684063-eeb9-b25c-c16a-8053bd41858c
128,Initial version,initial-version,https://www.igdb.com/platforms/edsac--1/version/initial-version,,,,,,,,,,,,,,,389,,7d7efda6-fb15-8c4d-d1a1-ebdad49fb4fb
130,Initial version,initial-version,https://www.igdb.com/platforms/hp2100/version/initial-version,,,,,,,,,,,,,,,,,1f78e979-6a06-3500-e70a-758de6c7ef15
134,Initial version,initial-version,https://www.igdb.com/platforms/pdp11/version/initial-version,,,,,,,,,,,,,,,,,95881b8e-d41d-36b0-e36b-3110f8d513cb
137,Initial version,initial-version,https://www.igdb.com/platforms/imlac-pds1/version/initial-version,,,,,,,,,,,,,,,,,ce775deb-7559-be08-2d74-e5e2c05f414e
150,Yosemite,yosemite,https://www.igdb.com/platforms/mac/version/yosemite,"OS X Yosemite (version 10.10) is the eleventh major release of OS X, Apple Inc.'s desktop and server operating system for Macintosh computers. Yosemite introduced a major overhaul of OS X's user interface. Its graphics replaced skeuomorphism with flat graphic design and blurred translucency effects, following the aesthetic introduced with iOS 7. Many of Yosemite's new features focus on the theme of continuity, increasing its integration with other Apple services and platforms such as iOS and iCloud.",,,,,,,,,,,,{103},,99,{159},db5c61ef-17aa-52f3-8f3a-6aea54f2a7db
156,Initial version,initial-version,https://www.igdb.com/platforms/fm-towns/version/initial-version,,Towns OS + Windows,Intel 80386DX @ 16MHz,,1-2 MB RAM (upgradable to 64 MB),,Richo RF5c68,,,,320×200 to 720×512,,,,365,{184},738b2df8-9ae4-5451-54e2-89163568c411
157,Initial version,initial-version,https://www.igdb.com/platforms/neo-geo-pocket/version/initial-version,"The Neo Geo Pocket is a monochrome handheld game console released by SNK. It was the company's first handheld system and is part of the Neo Geo family. It debuted in Japan in late 1998 but never saw a western release, being exclusive to Japan and smaller Asian markets such as Hong Kong.",,,,,,,,,,,,,,390,{355},5e4964dc-377c-dc88-2f7b-be603fc9fc24
170,Odisea (Mexico Export),odisea-mexico-export,https://www.igdb.com/platforms/odyssey--1/version/odisea-mexico-export,Mexican Export version of the Magnavox Odyssey. For the Mexican market all accessories were changed from English to Spanish.,,,,,,,,,,,,{538},,,{173},68b8c93e-a155-4e8e-1a09-737702278eca
174,Super NES CD-ROM System,super-nes-cd-rom-system,https://www.igdb.com/platforms/super-nes-cd-rom-system/version/super-nes-cd-rom-system,The Super NES CD-ROM System was a peripheral for the Super Nintendo Entertainment System and the Super Famicom. It was being developed in a partnership between Nintendo and Sony. It was cancelled and only one development prototype was found so far.,,3.58 Mz,,552 KB,,,,CD-ROM (Super Disc),,,"RCA Composite, S-VIdeo, multi-out AV","{953,954}",,529,,2ae4506b-f262-6839-cbc4-6435c6e5a04e
690,Initial version,initial-version,https://www.igdb.com/platforms/r-zone/version/initial-version,"The R-Zone is a portable game console (originally head-worn, later handheld) developed and manufactured by Tiger Electronics. The R-Zone was shown at the American International Toy Fair in February 1995, and was released later that year. The R-Zone was panned by critics, and was also a commercial disaster, with its lifespan lasting only two years before being discontinued in 1997.",,,,,,Mono,,,,,Mirror projection of LCD screen present on game cartridges,{901},,850,{849},a02ef369-5a86-de0a-1408-dfc0c3d7adfc
116,Initial version,initial-version,https://www.igdb.com/platforms/pdp10/version/initial-version,,,,,,,,,,,,,,,,,be63d6df-3e82-1c8b-cc35-e6b644577e14
132,Initial version,initial-version,https://www.igdb.com/platforms/sdssigma7/version/initial-version,,,,,,,,,,,,,,,,,bf2c83e7-7b9a-91a0-bb9f-fb8ef6c03546
724,PlayStation 5 Pro,playstation-5-pro,https://www.igdb.com/platforms/ps5/version/playstation-5-pro,,,,,,,,,,,,,,,892,{905},c40feafc-bdef-62bd-66a8-f95486cab72a
532,Windows 95,windows-95,https://www.igdb.com/platforms/win/version/windows-95,"Windows 95 is a consumer-oriented operating system developed by Microsoft as part of its Windows 9x family of operating systems. The first operating system in the 9x family, it is the successor to Windows 3.1x, and was released to manufacturing on July 14, 1995, and generally to retail on August 24, 1995, almost three months after the release of Windows NT 3.51. Windows 95 merged Microsoft's formerly separate MS-DOS and Microsoft Windows products, and featured significant improvements over its predecessor, most notably in the graphical user interface (GUI) and in its simplified ""plug-and-play"" features. There were also major changes made to the core components of the operating system, such as moving from a mainly cooperatively multitasked 16-bit architecture to a 32-bit preemptive multitasking architecture, at least when running only 32-bit protected mode applications.

Accompanied by an extensive marketing campaign, Windows 95 introduced numerous functions and features that were featured in later Windows versions, such as the taskbar, notification area, and the ""Start"" button.",,,,,,,,,,,,{629},,674,,03796576-f080-3fc5-fa85-f901dd9dc23e
691,VFD-based handhelds,vfd-based-handhelds,https://www.igdb.com/platforms/handheld-electronic-lcd/version/vfd-based-handhelds,"Handheld games with a vacuum fluorescent display, or ""VFD"". Unlike liquid crystal displays, a VFD emits very bright light with high contrast and can support display elements of various colors.",,,,,Vacuum fluorescent display,,,,,,,,,,,6206f589-eb98-114c-96e3-8f9267c7ee0a
28,Initial version,initial-version-25c50fa0-8e30-466f-8758-50b1f7e18793,https://www.igdb.com/platforms/jaguar/version/initial-version-25c50fa0-8e30-466f-8758-50b1f7e18793,,,"Multi Processor:  ''Tom'' @ 26,59 MHz, ''Jerry'' @ 26,59 MHz",ROM Cartridge 6MB,2MB,,16-bit Stereo,,"ROM cartridge, CD-ROM (Add-on)",,,"S-Video, Composite, RGB",,,286,"{45,46,47}",7932233a-1d62-03e7-a4ec-b8f4c2fc823a
56,Initial version,initial-version-3ef9ff1e-a867-41d2-88c7-7f420cc834bf,https://www.igdb.com/platforms/dos/version/initial-version-3ef9ff1e-a867-41d2-88c7-7f420cc834bf,,,,,,,,,,,,,"{32,33}",,38,{66},b778df8b-1a18-0808-ca52-87bc57ab1f1e
229,Nintendo DSi XL,nintendo-dsi-xl,https://www.igdb.com/platforms/nintendo-dsi/version/nintendo-dsi-xl,"The extra large version of the Nintendo DSi. 
The system itself is larger overall than the other Nintendo DS versions. 
The screens are larger than the Nintendo DSi, at 4.2-inch (110 mm), and have a larger viewing angle than the other versions allowing people around the main user to easily view the game being played. 
The system came with an extra stylus that did not fit into the system and was made in the style of a pen.",,ARM9 clocked at 133 MHz and ARM7 clocked at 33 MHz,"256 MB internal flash memory, SD card (up to 2gb), SDHC card (up to 32gb)",16 MB PSRAM,,,"Nintendo Wi-Fi Connection, Nintendo DSi Shop, Nintendo Zone","Nintendo DS Cartridge, Nintendo DSi Cartridge",Wi-FI,256x192 pixel resolution,,{309},,246,"{268,269,270,271}",69dbab1e-9d96-5616-174f-e7c8414a9ce2
122,iQue Player,ique-player,https://www.igdb.com/platforms/n64/version/ique-player,Miniaturized plug-n-play version of the N64 made for use in China,,,,,,,Fugue Online,iQue Memory Card,,,,{321},,260,{147},dcbb08e5-92e8-62b0-6100-8af41aa0cc6e
59,PSP-1000,psp-1000,https://www.igdb.com/platforms/psp/version/psp-1000,,PlayStation Portable system software,MIPS R4000,"Memory Stick Duo, Memory Stick PRO Duo",32 MB eDRAM,,"Stereo speakers, 3.5 mm headphone jack",Playstation Network,"Universal Media Disc, digital distribution","Wi-Fi 802.11b, IrDA",480 x 272,,,,242,"{69,70,71,334,335}",9ef024f6-3ec7-8a99-f994-203344b59cd2
71,Initial version,initial-version-37c27703-ddeb-4143-b022-b651fa546464,https://www.igdb.com/platforms/vc/version/initial-version-37c27703-ddeb-4143-b022-b651fa546464,,,,,,,,,,,,,,,384,,f41d1bc0-9e07-dda2-236e-21fb8e243572
111,Amiga A 2000,amiga-a-2000,https://www.igdb.com/platforms/amiga/version/amiga-a-2000,,,,,,,,,,,,,,,844,,93a83112-04cf-922b-d5cf-43096f061acf
127,Initial version,initial-version,https://www.igdb.com/platforms/nimrod/version/initial-version,,,,,,,,,,,,,,,386,,95003d46-9fff-1850-e821-3f6ad1d2c31b
161,Initial version,initial-version,https://www.igdb.com/platforms/wonderswan-color/version/initial-version,,,,,,,,,,,,,,,261,,2f801ec3-5e31-e2aa-8e52-cade5f3024e5
180,Xbox One S,xbox-one-s,https://www.igdb.com/platforms/xboxone/version/xbox-one-s,The slim version of the Xbox One.,Xbox OS,1.75GHz 8-core AMD custom CPU,2 tb,8GB DDR3,AMD graphics clocked at 914MHz,,Xbox Live,4K/HDR Blu-ray drive,,4K Ultra HD video,HDMI 2.0,{364},,324,{208},6b781b10-40c3-9635-23ae-2b5cb56374e4
191,Nintendo DSi,nintendo-dsi,https://www.igdb.com/platforms/nds/version/nintendo-dsi,"An improved version of the Nintendo DS. 
It does not have a Game Boy Advance Cartridge slot. 
It has more RAM and a faster CPU than the Nintendo DS and Lite versions. 
It has slightly larger screens and 5 brightness settings. 
It has 2 digital cameras.",,ARM9 clocked at 133 MHz and ARM7 clocked at 33 MHz,"256 MB of internal flash memory, slots for a SD card (up to 2 GB) and a SDHC card (up to 32 GB)",16 MB PSRAM,,,"Nintendo Wi-Fi Connection, Nintendo DSi Shop, Nintendo Zone","Nintendo DS Game Card, Nintendo DSi Game Card","Wi-Fi, Integrated 802.11b/g",256 × 192 pixels,,{307},,244,"{229,230,231,232,233}",38d3ef4e-b82a-08da-d6e6-e59bc4d17242
193,Game Boy Advance SP,game-boy-advance-sp,https://www.igdb.com/platforms/gba/version/game-boy-advance-sp,,,,,,,,,,,,,,,285,"{836,837,838}",7a70b738-28e1-765d-cc12-9bd37797ee8f
319,Stadia,stadia,https://www.igdb.com/platforms/duplicate-stadia/version/stadia,"Stadia, is the first platform created by search giant Google. Releasing in November 2019, it is the first major video game streaming platform with others rapdily approaching.",,,,,,,,,,,,,,392,,663c1467-307c-52b2-b3a0-c3a3beba84df
318,Initial version,initial-version,https://www.igdb.com/platforms/duplicate-stadia/version/initial-version,,,,,,,,,,,,,,,,,df231d5f-9b16-90c6-3fdb-a08e85dafab3
7,Froyo 2.2,froyo-2-2,https://www.igdb.com/platforms/android/version/froyo-2-2,,,,,,,,,,,,,{55},,58,{106},8f9379a2-925e-98fd-0b18-b050120d3f6a
215,Initial version,initial-version,https://www.igdb.com/platforms/turbografx-16-slash-pc-engine-cd/version/initial-version,,,,,,,,,,,,,,,291,,44f1fee7-07aa-f4c9-b9d6-df6d84615726
9,Honeycomb 3.2,honeycomb-3-2,https://www.igdb.com/platforms/android/version/honeycomb-3-2,,,,,,,,,,,,,{58},,61,{109},0ccf80fc-d580-7b1c-daf0-dea272570bd7
26,Initial version,initial-version-b404799e-fb33-4e0b-9721-85224a46dd97,https://www.igdb.com/platforms/atari7800/version/initial-version-b404799e-fb33-4e0b-9721-85224a46dd97,"The Atari 7800 ProSystem was released a full two years after it was designed and tested. The console was Atari's attempt to compete with the NES and Sega Master System. Following a massive research project focused on determining exactly what consumers were demanding from a video game platform, Atari knew what it needed for its next generation system. They selected the General Computer Corporation to design new a graphics chip. ""Marie"" was what they named it. It provided a greater spectrum of colors and an endless number of sprites.

There was also one extra feature Atari added to the Marie chip. In an effort to combat third-party game manufacturers from taking a huge chunk out of their potential software profits, Atari installed an encryption algorithm (like a coded lock) into the Marie Chip. The 7800 would only allow cartridges containing a 960-bit encoded ""key"" to activate its state-of-the-art graphics and sound capabilities. If a cartridge did not include the proper coded authentication, the system remained in its default mode and could only run games made for the 2600.

With the 7800, Atari attempted to correct all of the shortcomings inherent to the 5200 platform. As stated above, the 7800 was compatible with 2600 cartridges. They had even designed an adapter (later discarded upon release) which would let the 7800 play 5200 cartridges, giving Atari across-the-board compatibility with all previous software. To make the system even more attractive to consumers considering purchasing a home computer, Atari promised an optional keyboard add-on.

While size of the 7800 console is much smaller than the immense 5200, the major improvement was made in the joystick design. The 7800 controller was made more in the tradition of the 2600. It is sleek, simple and, most importantly, durable.

In 1983, the Marie project was a courageous attempt to bring Atari back as the preeminent name in video games. Atari poured their best available personnel into the project. The system was ready and waiting to ignite the stagnant video game market.

Unfortunately timing was working against the proponents of the 7800. In 1984, Warner Communications sold Atari to Jack Tramiel. He wanted to focus on the company's computer line, and the Atari 7800 was shelved.

The video game market awoke with a roar in 1985. Nintendo had released the NES game system to American consumers. Videogame sales skyrocketed and soon Sega premiered its Sega Master System. Seeing there was money to be made, Atari scrambled to get onto the playing field and released the Atari 7800 in 1986 with only three games: Ms. Pac-Man, Joust and Asteroids.

With a paltry $300,000 advertising budget Atari gave the system a half-hearted release. Sales for the platform were good, but Atari was also trying to market a computer/console hybrid called the Atari XE and a remodeled version of the Atari 2600. All three platforms remained far behind Nintendo and Sega's offerings. By the time the Atari 7800 started to build up a substantial library of games, it was too late, and the system disappeared from store shelves.",,"Atari SALLY 6502 @ 1,19-1,79 MHz","4KB BIOS Rom, 48KB Cartridge ROM",4KB RAM,,,,ROM cartridge,,"160x240, 320x240",S-Video,,,303,{44},5a6aa7bf-c738-e463-7d68-2124b6367966
27,Atari 400,atari-400,https://www.igdb.com/platforms/atari8bit/version/atari-400,,,,,,,,,,,,,,,373,,a0b54078-0324-5349-a03c-f08ea977eb55
48,Initial version,initial-version-1a53a258-c792-4df6-b5f6-e616f571b4b0,https://www.igdb.com/platforms/msx2/version/initial-version-1a53a258-c792-4df6-b5f6-e616f571b4b0,,,,,,,,,,,,,,,308,{112},e38310a1-3d96-474e-abfc-108ed7f5e974
61,Initial version,initial-version-9ec1965f-e8d3-4f68-9872-b6eb844b01c1,https://www.igdb.com/platforms/sega32/version/initial-version-9ec1965f-e8d3-4f68-9872-b6eb844b01c1,"The 32X is an add-on for the Sega Genesis video game console. Codenamed ""Project Mars"", the 32X was designed to expand the power of the Genesis and serve as a transitional console into the 32-bit era until the release of the Sega Saturn. Independent of the Genesis, the 32X uses its own ROM cartridges and has its own library of games. The add-on was distributed under the name Super 32X in Japan, Genesis 32X in North America, Mega Drive 32X in the PAL region, and Mega 32X in Brazil.",,,,,,,,,,,,,,279,"{356,357,358}",4ddeb0e1-9471-0ba2-24f8-579ec31f56a1
69,Zodiac 1,zodiac-1,https://www.igdb.com/platforms/zod/version/zodiac-1,,Palm OS,Motorola i.MX1 ARM9 @ 200 MHz,,32 MB,ATI Imageon W4200 (8 MB dedicated SDRAM),Yamaha Stereo Speakers,,,"3.5 headphone jack, IR, Bluetooth",,,,,46,{84},f354b037-beea-54b7-6611-b210c8899ba6
92,SG-1000 II,sg-1000-ii,https://www.igdb.com/platforms/sg1000/version/sg-1000-ii,,,,,,,,,Cartridge,,,,{814},,66,,27447005-c1e0-be63-aa63-8113d8563576
108,Initial version,initial-version,https://www.igdb.com/platforms/c-plus-4/version/initial-version,,,,,,,,,,,,,,,310,,3f4fd23f-d759-c5c4-684b-86ae411788d1
121,DOL-101,dol-101,https://www.igdb.com/platforms/ngc/version/dol-101,No Digital AV Out (component),,,,,,,,,,,,,,,,b6b45999-cfc9-572b-f6fd-40ab77df446e
125,Panasonic Q,panasonic-q,https://www.igdb.com/platforms/ngc/version/panasonic-q,"The Panasonic Q (sometimes known as Q and GameQ) is a hybrid version of the Nintendo GameCube with a DVD player manufactured by Panasonic in cooperation with Nintendo. The system was officially released only in Japan. A feature of its main competitors Xbox and PlayStation 2, the GameCube lacked commercial DVD movie playback functionality due to the use of the Nintendo optical disc format for games and the correspondingly small disc tray.",Dolphin OS,"IBM ""Gekko"" PowerPC at 485 MHz",,43 MB,"ATI Flipper 162 MHz (64 Bit, 16 MB)",81 MHz in Flipper (64 Channels at 48000KHz),,"DVD, CD, GD-Rom disc",Gamecube Broadband Network Adapter,"240i , 240p, 480i, 480p",,{253},,87,{148},543649b9-aa5a-de32-1489-dec4119223d8
